seed,agent_a,agent_b,turns,placement_a,placement_b,score_a,turns_survived_a,turns_survived_b,final_length_a,final_length_b
6,MCTS-Opponent,MCTS-Prior,2,1,2,1.0,2,2,3,3
7,MCTS-Opponent,MCTS-Prior,105,1,2,1.0,105,105,18,10
8,MCTS-Opponent,MCTS-Prior,200,1,2,1.0,200,200,25,24
9,MCTS-Opponent,MCTS-Prior,200,2,1,0.0,200,200,29,32
0,MCTS-RAVE,MCTS-Opponent,175,1,2,1.0,175,175,16,14
1,MCTS-RAVE,MCTS-Opponent,123,1,2,1.0,123,123,12,8
2,MCTS-RAVE,MCTS-Opponent,63,2,1,0.0,63,63,6,7
3,MCTS-RAVE,MCTS-Opponent,166,1,2,1.0,166,166,19,12
4,MCTS-RAVE,MCTS-Opponent,200,2,1,0.0,200,200,16,33
5,MCTS-RAVE,MCTS-Opponent,200,1,2,1.0,200,200,27,21
6,MCTS-RAVE,MCTS-Opponent,151,2,1,0.0,151,151,16,21
7,MCTS-RAVE,MCTS-Opponent,130,2,1,0.0,130,130,18,16
8,MCTS-RAVE,MCTS-Opponent,175,1,2,1.0,175,175,28,19
9,MCTS-RAVE,MCTS-Opponent,15,1,2,1.0,15,15,4,3
0,MCTS-UCB1Tuned,MCTS-Opponent,116,2,1,0.0,116,116,7,14
1,MCTS-UCB1Tuned,MCTS-Opponent,200,2,1,0.0,200,200,17,22
2,MCTS-UCB1Tuned,MCTS-Opponent,200,2,1,0.0,200,200,22,28
3,MCTS-UCB1Tuned,MCTS-Opponent,148,2,1,0.0,148,148,17,14
4,MCTS-UCB1Tuned,MCTS-Opponent,200,1,2,1.0,200,200,29,21
5,MCTS-UCB1Tuned,MCTS-Opponent,200,2,1,0.0,200,200,14,29
6,MCTS-UCB1Tuned,MCTS-Opponent,92,1,2,1.0,92,92,11,11
7,MCTS-UCB1Tuned,MCTS-Opponent,200,2,1,0.0,200,200,20,32
8,MCTS-UCB1Tuned,MCTS-Opponent,197,1,2,1.0,197,197,26,27
9,MCTS-UCB1Tuned,MCTS-Opponent,159,1,2,1.0,159,159,20,30
0,Heuristic,Random,2,1,2,1.0,2,2,3,3
1,Heuristic,Random,112,1,2,1.0,112,112,6,10
2,Heuristic,Random,124,1,2,1.0,124,124,8,9
3,Heuristic,Random,2,1,2,1.0,2,2,3,3
4,Heuristic,Random,2,1,2,1.0,2,2,3,3
5,Heuristic,Random,12,1,2,1.0,12,12,4,3
6,Heuristic,Random,18,1,2,1.0,18,18,5,3
7,Heuristic,Random,2,1,2,1.0,2,2,4,3
8,Heuristic,Random,2,1,2,1.0,2,2,3,3
9,Heuristic,Random,70,1,2,1.0,70,70,10,6
